,Primary Street,Dir,Cross Street,Type,Dist,Count Date,Day,W/B,E/B,N/B,S/B,Total,coordinates
62,18 th ST,E/O,CIMARRON ST,AUTO,HW,April 10 2014,THU,286.0,185.0,0.0,0.0,471.0,"(34.041768, -118.309369)"
63,186 th ST,AT,CATALINA AV,AUTO,SR,October 09 2013,WED,808.0,1064.0,0.0,0.0,1872.0,"(33.8620019, -118.2942336)"
64,186 th ST,E/O,WESTERN AV,AUTO,SR,October 08 2013,TUE,1371.0,527.0,0.0,0.0,1898.0,"(33.8619938, -118.3091615)"
65,186 th ST,W/O,VERMONT AV,AUTO,SR,October 09 2013,WED,997.0,1122.0,0.0,0.0,2119.0,"(33.8620065, -118.2905421)"
66,186 th ST,AT,WESTERN AV,MAN,SR,April 24 2013,WED,1920.0,613.0,0.0,0.0,2533.0,"(33.8619938, -118.3091615)"
67,186 th ST,AT,NORMANDIE AV,AUTO,SR,October 08 2013,TUE,1643.0,1495.0,0.0,0.0,3138.0,"(33.8619974, -118.2992445)"
68,186 th ST,AT,RAYMOND AV,AUTO,CR,January 05 2011,WED,2351.0,865.0,,,3216.0,"(33.8620017, -118.2966428)"
69,186 th ST,AT,CATALINA AV,AUTO,CR,January 05 2011,WED,1446.0,2498.0,,,3944.0,"(33.8620019, -118.2942336)"
70,186 th ST,AT,DALTON AV,AUTO ,SR,October 08 2013,TUE,1068.0,3437.0,0.0,0.0,4505.0,"(33.8619934, -118.3039545)"
71,186 th ST,AT,WESTERN AV,AUTO,CR,August 30 2011,TUE,4431.0,3578.0,,,8009.0,"(33.8619938, -118.3091615)"
72,1st ST,AT,ALAMEDA ST   ( early shift ),MAN,CR,March 27 2014,THU,6799.0,5619.0,0.0,0.0,12418.0,"(34.055342, -118.237355)"
73,1st ST,AT,ALAMEDA ST   ( late shift ),MAN,CR,March 09 2014,WED,4912.0,9889.0,0.0,0.0,14801.0,"(34.0489428, -118.2381171)"
74,1st ST ,BTWN,BROADWAY AND SPRING ST,AUTO,CR,April 24 2014,THU,11614.0,11514.0,0.0,0.0,23128.0,"(34.0542393, -118.2434424)"
75,2 nd PL  overcross,E/O,FLOWER ST     ,AUTO,CR,August 30 2011,TUE,2815.0,3729.0,,,6544.0,"(34.036464, -118.2692076)"
76,2 nd ST,AT,BEACON ST,AUTO,SR,February 12 2014,WED,185.0,229.0,0.0,0.0,414.0,"(33.7344972, -118.2806635)"
77,2 nd ST,AT,OXFORD AV,AUTO,HW,November 07 2013,THU,2239.0,3831.0,0.0,0.0,6070.0,"(34.070945, -118.309082)"
78,2 nd ST,AT,ALAMEDA ST,AUTO,CR,March 11 2014,TUE,3336.0,5978.0,0.0,0.0,9314.0,"(34.0468828, -118.2381003)"
79,2 nd ST,AT,CENTRAL AV,AUTO,CR,March 11 2014,TUE,4386.0,6401.0,0.0,0.0,10787.0,"(34.0477457, -118.2393688)"
80,2 nd ST ,AT,MEYLER ST,AUT,SR,April 16 2013,TUE,878.0,649.0,0.0,0.0,1527.0,"(33.7424214, -118.296734)"
81,2 nd ST ,AT,HIGHLAND AV,MAN,HW,April 04 2013,THU,503.0,1032.0,0.0,0.0,6035.0,"(34.0737705, -118.3381742)"
82,20 th ST,AT,HOOPER AV,AUTO,CR,August 30 2011,TUE,,,5013.0,2818.0,7831.0,"(34.0204773, -118.2467163)"
83,21 st ST,AT,PACIFICA AV,MAN,SR,March 25 2014,TUE,529.0,244.0,0.0,0.0,773.0,"(36.8491949, -75.97693880000001)"
84,21 st ST,AT,GAFFEY ST,AUTO,SR,June 08 2011,WED,339.0,689.0,,,1028.0,"(33.7251975, -118.2990312)"
85,21 st ST,AT,3 rd AV,AUTO,SR,November 21 2011,MON,659.0,404.0,,,1063.0,"(34.026096, -118.258424)"
86,214 th ST,AT,DENKER AV,AUTO,SR,April 08 2014,TUE,300.0,458.0,0.0,0.0,758.0,"(33.8345153, -118.3038768)"
87,218 th ST,AT,HALLDALE AV,AUT,SR,April 03 2013,WED,360.0,478.0,0.0,0.0,838.0,"(33.830315, -118.3016223)"
88,218 th ST,AT,DENKER ST,AUT,SR,April 03 2013,WED,525.0,578.0,0.0,0.0,1103.0,"(33.8302944, -118.3038258)"
89,22 nd ST,AT,UNION AV,MAN,SR,January 17 2013,THU,456.0,294.0,0.0,0.0,750.0,"(34.0357444, -118.2829461)"
90,23 rd ST,AT,UNION AV,AUTO,SR,June 09 2011,THU,824.0,1519.0,,,2343.0,"(34.0349521, -118.2834449)"
91,23 rd ST,AT,GRAND AV,AUTO,SR,January 06 2011,THU,3853.0,7871.0,,,11724.0,"(34.0291904, -118.2705653)"
